"","Name","Class","Role","Tier","Score","Trend","Win %","Role %","Pick %","Ban %","KDA","Patch"
"4083","Swain","Mage","ADC","A",50.47,"2.78",0.5464,0.1932,0.0114,0.0357,2.98,"13_18"
"4084","Swain","Mage","SUPPORT","A",49.71,"-1.47",0.504,0.5561,0.0372,0.0357,2.33,"13_18"
"4085","Swain","Mage","MID","A",48.81,"-1.97",0.5238,0.1794,0.011,0.0357,2.77,"13_18"
"4086","Sylas","Mage","MID","S",61.98,"0.91",0.5096,0.6176,0.0751,0.0953,2.21,"13_18"
"4087","Sylas","Mage","JUNGLE","B",47.52,"1.38",0.5055,0.2476,0.0309,0.0953,2.48,"13_18"
"4088","Syndra","Mage","MID","A",52.93,"1.2",0.5012,0.9122,0.051,0.0268,2.28,"13_18"
"4089","Tahm Kench","Support","TOP","C",40.03,"-0.93",0.4902,0.6004,0.0144,0.006,2.25,"13_18"
"4090","Tahm Kench","Support","SUPPORT","D",33.26,"0.57",0.4859,0.2745,0.0062,0.0064,2.26,"13_18"
"4091","Taliyah","Mage","MID","A",50.38,"1.86",0.5211,0.4314,0.0271,0.032,2.31,"13_18"
"4092","Taliyah","Mage","JUNGLE","B",48,"1.6",0.5057,0.4763,0.0311,0.032,2.63,"13_18"
"4093","Talon","Assassin","MID","A",50.71,"0.09",0.5095,0.7421,0.0371,0.0216,2.29,"13_18"
"4094","Talon","Assassin","JUNGLE","C",41.92,"1.98",0.4919,0.2313,0.0123,0.0216,2.45,"13_18"
"4095","Taric","Support","SUPPORT","B",48.41,"2.89",0.5311,0.9248,0.0165,0.004,2.81,"13_18"
"4096","Teemo","Marksman","TOP","S",55.67,"0.75",0.5062,0.6949,0.0428,0.0638,1.74,"13_18"
"4097","Teemo","Marksman","SUPPORT","D",33.6,"-0.95",0.4953,0.1141,0.0068,0.0638,1.8,"13_18"
"4098","Thresh","Support","SUPPORT","God",92.98,"3.35",0.5122,0.9787,0.1351,0.0548,2.61,"13_18"
"4099","Tristana","Marksman","MID","A",49.63,"-1.84",0.5091,0.419,0.0389,0.0428,1.96,"13_18"
"4100","Tristana","Marksman","ADC","B",46.32,"0.9",0.5028,0.5491,0.0557,0.0428,2.22,"13_18"
"4101","Trundle","Fighter","JUNGLE","A",48.78,"8.34",0.5265,0.4717,0.0136,0.0088,2.58,"13_18"
"4102","Trundle","Fighter","TOP","D",37.19,"-2.77",0.5042,0.4777,0.0128,0.0088,1.48,"13_18"
"4103","Tryndamere","Fighter","TOP","S",61.93,"-5.44",0.5161,0.8134,0.0501,0.0989,1.75,"13_18"
"4104","Tryndamere","Fighter","MID","B",43.49,"-4.34",0.5187,0.1315,0.008,0.0989,2.02,"13_18"
"4105","Twisted Fate","Mage","MID","B",46.58,"-0.1",0.5006,0.9029,0.0291,0.002,2.24,"13_18"
